sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
61, 748135382, 161.31390380859375, -73.78191375732422, -7.495898723602295, 0.22900432348251343, -0.5389361381530762, 0.7522729635238647, 13.802888870239258, -31.434906005859375, 45.7526969909668, 55.36478805541992, 179.41798400878906, -267.4359436035156, 
62, 748152049, 149.76646423339844, -75.57708740234375, 7.14911413192749, -0.01774686574935913, -0.18272942304611206, 0.7533816695213318, -2.048618793487549, -9.975850105285645, 45.40375518798828, 155.1682586669922, 189.01808166503906, -168.68695068359375, 
63, 748168716, 137.45767211914062, -78.5120620727539, 22.592723846435547, -0.13829439878463745, -0.2284003496170044, 0.554152250289917, -9.423412322998047, -12.985786437988281, 33.24552917480469, 165.398681640625, 259.1136779785156, -65.03355407714844, 
64, 748185383, 100.40117645263672, -82.48094177246094, 64.1380615234375, -0.30853271484375, -0.22644168138504028, 0.3066334128379822, -19.71294593811035, -12.958133697509766, 17.608091354370117, 239.51345825195312, 456.2716064453125, -1.4689953327178955, 
65, 748202050, 33.51454544067383, -78.53466033935547, 134.62608337402344, -0.29242658615112305, -0.14127802848815918, 0.16341817378997803, -18.551843643188477, -8.04139518737793, 8.257593154907227, 173.46435546875, 675.099365234375, 76.99734497070312, 
66, 748218717, 9.977639198303223, -67.00479125976562, 159.55653381347656, -0.1626797914505005, -0.26819753646850586, 0.16462135314941406, -11.218667030334473, -15.82019329071045, 8.762152671813965, 25.982240676879883, 787.5678100585938, 157.6897430419922, 
67, 748235384, 0.3839229643344879, -53.50617218017578, 169.67054748535156, 0.09579908847808838, -0.44919419288635254, 0.11869919300079346, 3.9806129932403564, -27.167600631713867, 7.5711188316345215, -43.9078369140625, 827.7178955078125, 226.11807250976562, 
68, 748252051, -5.836137771606445, -39.57701873779297, 176.35919189453125, 0.1133432388305664, -0.23742717504501343, -0.034394145011901855, 6.363978385925293, -14.529276847839355, -1.4343039989471436, -78.24302673339844, 817.5446166992188, 314.5919494628906, 
69, 748268718, -12.848894119262695, -27.207509994506836, -177.9906463623047, -0.029955685138702393, 0.04674607515335083, -0.25664186477661133, -0.08952248096466064, 3.394514799118042, -15.419477462768555, -231.00694274902344, 683.2655029296875, 398.82891845703125, 
70, 748285385, -18.39708709716797, -15.856782913208008, -174.03713989257812, 0.20510715246200562, 0.0949975848197937, -0.712310791015625, 16.306026458740234, 6.415352821350098, -41.34682846069336, -243.69677734375, 594.152587890625, 395.09747314453125, 
71, 748302052, -23.865631103515625, -6.019283294677734, -172.32920837402344, 0.37033385038375854, 0.4935169816017151, -0.8731564283370972, 27.392986297607422, 30.838960647583008, -49.25760269165039, -307.0235290527344, 513.1004638671875, 305.9969177246094, 
72, 748318719, -31.527097702026367, -0.6099607944488525, -170.1511993408203, 0.9782740473747253, 0.5777009725570679, -0.702380359172821, 61.384639739990234, 35.027095794677734, -37.89451599121094, -451.2350158691406, 226.292236328125, 266.2236328125, 
73, 748335386, -36.65912628173828, 1.9007349014282227, -166.9107208251953, 1.5199687480926514, 0.4306875467300415, -0.5758295655250549, 92.1807861328125, 24.101760864257812, -33.19483184814453, -309.7102966308594, 16.212812423706055, 245.96853637695312, 
74, 748352053, -40.6305046081543, 2.8113291263580322, -166.78414916992188, 1.425379991531372, 0.6003543734550476, -0.39117562770843506, 85.87213134765625, 36.29429626464844, -21.724735260009766, -238.23184204101562, 39.64577865600586, 41.6970100402832, 
75, 748368720, -46.25450134277344, 0.7802271842956543, -169.8953094482422, 1.3383592367172241, 0.5942376255989075, -0.36751919984817505, 79.26995086669922, 39.20085525512695, -19.781953811645508, -331.55181884765625, 42.26991271972656, -216.61366271972656, 
76, 748385387, -48.58247375488281, -3.7039151191711426, -172.120849609375, 1.0708918571472168, 0.3232792019844055, -0.33371901512145996, 63.169071197509766, 22.464372634887695, -20.348548889160156, -143.58721923828125, -80.94054412841797, -284.82513427734375, 
77, 748402054, -40.98973846435547, -3.4829039573669434, -174.05384826660156, 1.3193007707595825, -0.6859456300735474, -0.8263856768608093, 80.24087524414062, -43.502994537353516, -45.759605407714844, 447.5737609863281, 94.29104614257812, -69.07457733154297, 
78, 748418721, -35.89414978027344, -1.4453928470611572, -178.18365478515625, -0.5280810594558716, -0.5050064325332642, 0.8708103895187378, -33.06268310546875, -28.609249114990234, 52.361602783203125, 295.1258850097656, 248.64366149902344, -118.60137176513672, 
79, 748435388, -32.55634689331055, -1.2279114723205566, 178.39747619628906, 0.27037787437438965, 0.7403911352157593, 0.6316736936569214, 14.475045204162598, 45.86235427856445, 36.9062385559082, 195.61598205566406, 124.98696899414062, -162.9185791015625, 
80, 748452055, -32.294673919677734, -1.8766907453536987, 179.2028045654297, 0.10102218389511108, 0.1948985457420349, 0.3357377052307129, 6.269115924835205, 11.72597885131836, 20.061708450317383, 16.914295196533203, -59.84943771362305, 19.27533531188965, 
81, 748468722, -32.918121337890625, -3.9737164974212646, -179.67697143554688, 0.05443674325942993, -0.2493324875831604, 0.29489386081695557, 3.659456253051758, -15.041580200195312, 17.547964096069336, -34.199886322021484, -143.21128845214844, -11.823615074157715, 
